model	count	life	category	display_name	obb_w	obb_d	radius	type
BLK_LIGHT_POLE	295779	3	4		3.25	0.50	1.6	65536
HOME1_A_NEW	32478	150	4		7.73	15.14	8.5	65537
HOME1_B	31446	150	4		7.73	15.14	8.5	65536
HOME1UG_A	30456	150	4		14.72	14.92	10.5	65537
HOME1_C	29779	150	4		8.84	15.06	8.7	65536
HOME1UG_C	29031	150	4		14.92	14.72	10.5	65536
HOME1UG_B	27849	150	4		14.92	14.72	10.5	65537
DOMIK1A_NEW	27667	50	4		5.96	17.13	9.1	65537
DOMIK1B_NEW	26274	50	4		12.97	21.17	12.4	65537
GARAGE_A_NEW	23787	400	4		30.29	32.39	22.2	65537
TR_BUDKA_NEW	22298	150	4		6.67	13.15	7.4	65537
SKLAD_NEW	20600	400	4		41.43	43.33	30.0	65537
MAGAZIN_NEW	19546	400	4		10.51	16.77	9.9	65537
DOM2A	17573	100	4		15.16	18.03	11.8	65537
DOMIK1C	15481	50	4		8.11	7.01	5.4	65537
ANGAR_A_NEW	14466	50	4		17.61	30.60	17.7	65536
KOTELNAYA_A_NEW	13447	150	4		10.14	15.66	9.3	65536
HOME2_C	12509	600	4		11.87	23.83	13.3	65536
GARAGH-SMALL-A_NEW	11772	20	4		6.84	9.65	5.9	65537
DOM2C_NEW	11743	150	4		23.81	17.46	14.8	65537
S2_NEW	11607	80	4		5.61	12.61	6.9	65537
DOMIK1D	11369	50	4		8.11	7.01	5.4	65537
DIRECTIONAL_APPROACH_LIGHTS_RED	9539	10000000	4		0.45	0.45	0.3	65536
HOME2_A	8252	600	4		8.17	21.94	11.7	65537
HIM_BAK_A_NEW	7909	5	4		18.20	18.26	12.9	65537
KLUB_A	6792	400	4		13.75	26.16	14.8	65537
HOME2_B	6496	600	4		8.17	21.94	11.7	65536
S4_NEW	6137	80	4		7.42	10.14	6.3	65537
POLYKLINIKA_A	6107	1000	4		52.64	20.89	28.3	65537
KLUB_B	5526	400	4		13.75	26.16	14.8	65537
BAK_NEW	5448	5	4		18.20	18.26	12.9	65537
KORPUS_A	4163	1000	4		25.61	47.40	26.9	65536
D_SAD_A	3865	200	4		60.88	48.47	38.9	65536
GARAGE_B_NEW	3716	200	4		19.15	39.97	22.2	65537
BASHNJA-STENA	3097	1600	4		5.54	5.41	3.9	65537
HOME52_HR	2943	2400	4		17.04	92.60	47.1	65537
GARAGH-SMALL-B_NEW	2863	100	4		6.20	12.44	7.0	65537
KORPUS_B	2698	1000	4		27.05	46.95	27.1	65536
S3_NEW	2696	80	4		8.39	23.19	12.3	65536
HOME53_ST	2677	2400	4		99.20	22.29	50.8	65536
TAXIWAY_LIGHT_BLUE	2570	10000000	4		0.28	0.28	0.2	65536
KOTELNAYA_B	2526	400	4		35.54	28.23	22.7	65536
UNIWERSAM_A_NEW	2204	800	4		51.32	40.37	32.6	65537
CINEMA_B	2148	150	4		28.28	50.50	28.9	65536
HOME5M	2136	2400	4		19.94	96.71	49.4	65536
SCHOOL_A	2070	1000	4		52.02	52.33	36.9	65537
HOME51_ST	1905	2400	4		17.53	96.01	48.8	65536
CEH_ANG_A_NEW	1861	500	4		18.51	35.45	20.0	65537
S1_NEW	1704	80	4		5.26	10.14	5.7	65537
KORPUS_A1	1696	1000	4		30.39	93.24	49.0	65537
HOME16_TWIN	1620	1000	4		39.86	67.68	39.3	65537
HOZDOMIK3_NEW	1556	20	4		8.14	4.14	4.6	65536
HOME9A	1548	2400	4		20.12	113.19	57.5	65536
KORPUS_B1	1527	1200	4		35.80	98.23	52.3	65537
FERMA_A_NEW	1523	400	4		24.42	56.48	30.8	65537
HOZDOMIK1_NEW	1415	100	4		8.18	40.17	20.5	65537
KAM_H	1258	60	4		9.63	13.66	8.4	65536
HOME53_HR	1244	2400	4		23.52	48.17	26.8	65536
HOME51_HR	1116	2400	4		17.62	96.28	48.9	65537
ANGAR_B_NEW	1067	40	4		28.00	31.02	20.9	65537
HIM_BAK_B	1014	5	4		10.63	10.11	7.3	65537
KAZARMA2_NEW	973	800	4		8.67	31.64	16.4	65536
KORPUS_D	966	800	4		44.82	69.62	41.4	65537
STOLOVAYA_NEW	935	500	4		16.57	26.09	15.5	65537
HOME3_A	916	800	4		14.87	35.84	19.4	65536
HOME3_B	892	800	4		14.71	36.95	19.9	65537
HOME16_BASH	865	4000	4		42.41	25.02	24.6	65536
SKLADIK	859	40	4		3.09	6.09	3.4	65537
HOME3_C	833	800	4		16.52	40.83	22.0	65537
STOP_LIGHT_RED	720	10000000	4		0.28	0.44	0.3	65536
CEH_ANG_B	677	1500	4		118.32	86.71	73.3	65537
HOZDOMIK2_NEW	673	80	4		8.14	20.65	11.1	65537
TECH_NEW	626	500	4		67.65	56.01	43.9	65536
MOST(ROAD)BIG_END	598	500	4
MOST(ROAD)SMALL	582	500	4		17.35	70.00	36.1	65536
WODOKACHKA_C	560	80	4		8.27	8.22	5.8	65537
AVIASHTAB_NEW	546	1200	4		10.98	15.75	9.6	65537
STOLOVAYA1	544	400	4		12.14	31.21	16.7	65537
CEH_C	491	2500	4		51.00	61.20	39.8	65537
HOME3_D	479	600	4		15.65	35.60	19.4	65536
KAZARMA1_NEW	472	800	4		15.51	40.92	21.9	65537
HOME3_E	462	600	4		15.71	40.72	21.8	65536
LAP-HOUSE	430	150	4		35.77	20.47	20.6	65537
HOME16A_BASH	412	1000	4		42.41	25.02	24.6	65536
HOTEL_A	405	2400	4		24.05	100.13	51.5	65536
HOME52_ST	379	2400	4		21.35	80.72	41.7	65537
MOST(ROAD)BIG	363	500	4		15.19	140.76	70.8	65536
MECHET	340	1600	4		17.02	17.02	12.0	65536
MECHET_HIGHT	340	800	4		9.32	9.18	6.5	65537
NASOS	326	150	4
MSTIK	315	500	4		12.07	55.55	28.4	65536
MOST-FERMA	289	500	4		13.91	100.12	50.5	65536
UKRYTIE	283	8000	4
