# spec: core.md
# sha256: 1e4e06add9150804e88f1ae9017191976598e1d0e90118e21ff404a06bcb5629
# generated: 2026-09-03 (re-stamped after rename; rows from the 2026-09-02 review)
term	subject	defined_in	note
dcsterrain	dcsterrain-cli	Workspace	the CLI binary name
dcsterrain-core	dcsterrain-core	Workspace	core library crate
core crate	dcsterrain-core	Spec: `dcsterrain` core and `pack`	
dcsterrain-cli	dcsterrain-cli	Workspace	binary crate
dcsterrain-mcp	dcsterrain-mcp	Workspace	MCP library crate
query-operations.md	query-operations.md	UNDEFINED	sibling spec
mcp-server.md	mcp-server.md	UNDEFINED	sibling spec
design-and-facts.md	design doc	UNDEFINED	
design doc	design doc	UNDEFINED	
extract-format.md	extract module	UNDEFINED	sibling spec for the extract directory
rusqlite	rusqlite	Workspace	
SQLite	packed file	UNDEFINED	
R-tree	rtree queries	UNDEFINED	SQLite rtree module
serde	serde	Workspace	
serde_json	serde	Workspace	
rayon	rayon	Workspace	
clap	clap	Workspace	
thiserror	thiserror	Workspace	
memmap2	memmap2	Workspace	
extract	extract module	Workspace	pub mod extract
derive	derive module	Workspace	pub mod derive
graph	graph module	Workspace	pub mod graph
los	los module	Workspace	pub mod los
ops	ops module	Workspace	pub mod ops
synth	synth module	Workspace	pub mod synth; also a CLI subcommand and feature
types	types module	Workspace	pub mod types
packed file	packed file	Packed file	one SQLite file
meta	meta table	Packed file	key/value table
grid	grid table	Packed file	table of grid descriptors; also pub mod grid
grid_tile	grid_tile table	Packed file	
scenery	scenery table	Packed file	
scenery_idx	scenery_idx	Packed file	
scenery_class	scenery_class table	Packed file	
road_node	road_node table	Packed file	
road_edge	road_edge table	Packed file	
road_edge_idx	road_edge_idx	Packed file	
airdrome	airdrome table	Packed file	
runway	runway table	Packed file	
stand	stand table	Packed file	
beacon	beacon table	Packed file	
radio	radio table	Packed file	
poi	poi table	Packed file	
poi_idx	poi_idx	Packed file	
geometry	edge geometry	Packed file	road_edge column
layers_dropped	layers_dropped	Packed file	meta key
params	grid params	Packed file	grid column
terrain_fingerprint	terrain fingerprint	Packed file	meta key, manifest as JSON
terrain_digest	terrain digest	Packed file	meta key
dcs_build	version keys	Packed file	meta key
dcs_build_timestamp	version keys	Packed file	meta key
matches_install	matches_install	Versioning	Theatre::matches_install
describe	describe	UNDEFINED	operation defined in query-operations.md
--force	overwrite refusal	Versioning	
cell_size	base resolution	Grids	
tile_size	tile size	Grids	
nodata	nodata	Grids	
height	height grid	Grids	
water	water grid	Grids	
surface	surface grid	Grids	
valid	valid grid	Grids	
slope	slope layer	Grids	query-time layer, not stored
aspect	aspect layer	Grids	query-time layer, not stored
roughness	roughness layer	Grids	query-time layer, not stored
tpi_300	tpi_300 layer	Grids	query-time layer, not stored
tpi_2000	tpi_2000 grid	Grids	
dist_road	dist_road grid	Grids	
dist_rail	dist_rail grid	Grids	
dist_water	dist_water grid	Grids	
dist_builtup	dist_builtup grid	Grids	
sat_building	sat grids	Grids	
sat_industrial	sat grids	Grids	
SAT	sat grids	UNDEFINED	summed-area table
summed-area table	sat grids	Grids	
horizon	horizon grid	Grids	
enclosure	enclosure grid	Grids	
Felzenszwalb–Huttenlocher	distance transform	Grids	
distance transform	distance transform	Grids	
pack.toml	pack config	Grids	
drop	drop config	Grids	pack config key
horizon_bins	horizon config	Grids	
horizon_range_m	horizon config	Grids	
builtup_threshold	horizon config	Grids	
omit_sea_tiles	sea tile omission	Grids	
cell_size (pack)	cell_size config	Grids	pack config key, 50 or 100; default by the 500 000 km² rule
scenery_models.json	scenery_models.json	UNDEFINED	extract catalogue file
catalogue	scenery catalogue	Scenery classification	
getDesc	scenery catalogue	UNDEFINED	DCS API
getObjectsAtMapPoint	scenery catalogue	UNDEFINED	DCS API
classes/common.toml	class override	Scenery classification	
override	class override	Scenery classification	scenery_class.source value
wall	wall rule	Scenery classification	class
misc	misc rule	Scenery classification	class
industrial	industrial rule	Scenery classification	class
building	building rule	Scenery classification	class
source	scenery_class.source	Scenery classification	scenery_class column
