# spec: core.md
# sha256: 1e4e06add9150804e88f1ae9017191976598e1d0e90118e21ff404a06bcb5629
# generated: 2026-09-03 (re-stamped after rename; rows from the 2026-09-02 review)
subject	kind	status	claim	section	anchor
spec scope	definition		This spec covers the Rust workspace, the packed SQLite file, the derived layers, and the pack and check subcommands.	Spec: `dcsterrain` core and `pack`	The Rust workspace, the packed SQLite file, the derived layers, and the
query-operations.md	dependency		Query operations are specified in query-operations.md.	Spec: `dcsterrain` core and `pack`	`query-operations.md`; the MCP server is `mcp-server.md`. Both
mcp-server.md	dependency		The MCP server is specified in mcp-server.md as a thin layer over the core crate.	Spec: `dcsterrain` core and `pack`	are thin layers over the core crate defined here. Background:
design doc	dependency		Background for this spec is design-and-facts.md.	Spec: `dcsterrain` core and `pack`	`design-and-facts.md`.
workspace layout	definition		The workspace root dcsterrain/ holds Cargo.toml, crates/ and tests/.	Workspace	Cargo.toml                 (workspace)
dcsterrain-core	definition		dcsterrain-core is a library crate holding the extract reader, packer, file reader and operations.	Workspace	dcsterrain-core/         library: extract reader, packer, file reader, operations
dcsterrain-cli	definition		dcsterrain-cli is the dcsterrain binary with pack, check-extract, check, query and serve subcommands.	Workspace	binary `dcsterrain`: pack, check-extract, check, query, serve
dcsterrain-mcp	definition		dcsterrain-mcp is a library of MCP tool definitions over core.	Workspace	library: MCP tool definitions over core (see mcp-server.md)
integration tests	constraint		Workspace integration tests under tests/ use synthetic data only.	Workspace	workspace integration tests (synthetic only)
rusqlite	dependency		rusqlite is built with the bundled feature and an rtree-capable build.	Workspace	Dependencies: `rusqlite` with `bundled` and `rtree`-capable build (the
rusqlite	dependency		The bundled SQLite has R-tree enabled.	Workspace	bundled SQLite has R-tree on); `serde`, `serde_json`; `rayon`; `clap`
serde	dependency		The workspace depends on serde and serde_json.	Workspace	`serde`, `serde_json`; `rayon`
rayon	dependency		The workspace depends on rayon.	Workspace	`serde_json`; `rayon`; `clap`
clap	dependency		The CLI uses clap.	Workspace	for the CLI; `thiserror`; `memmap2` optional for tile reads. No native
thiserror	dependency		The workspace depends on thiserror.	Workspace	`thiserror`; `memmap2` optional
memmap2	dependency		memmap2 is an optional dependency for tile reads.	Workspace	`memmap2` optional for tile reads
native libraries	constraint		No native libraries are used beyond the bundled SQLite.	Workspace	libraries beyond the bundled SQLite. Builds on Windows, macOS and Linux
build platforms	constraint		The workspace builds on Windows, macOS and Linux with stable Rust.	Workspace	with stable Rust; CI builds all three.
ci	constraint		CI builds all three platforms.	Workspace	CI builds all three
public surface	definition		dcsterrain-core exposes the modules extract, pack, file, grid, derive, graph, los, ops, synth and types.	Workspace	Public surface of `dcsterrain-core`:
extract module	interface		The extract module reads and validates an extract directory per extract-format.md.	Workspace	pub mod extract;   // read + validate an extract directory
pack module	interface		The pack module builds a packed file from an extract.	Workspace	pub mod pack;      // build a packed file from an extract
