# spec: extractor-hook.md
# sha256: 2a39c9894c3d9fca31658f38566b6f742b1e65f720888ec0028bbd044be4a15a
# generated: 2026-09-03 (re-stamped after rename; rows from the 2026-09-02 review)
term	subject	defined_in	note
hook	hook	Spec: extractor hook	
GameGUI hook	hook	Spec: extractor hook	
extractor	hook	UNDEFINED	
extract-format.md	extract format	Spec: extractor hook	
extract	extract format	UNDEFINED	the output directory
design-and-facts.md	design doc	Spec: extractor hook	
design doc	design doc	UNDEFINED	
probe log	design doc	UNDEFINED	probe-log-2.9.29.27278.md
dcs-scripting	dcs-scripting skill	Spec: extractor hook	
dcs-api-lookup	dcs-api-lookup	Spec: extractor hook	
DcsTerrainExtract.lua	hook file	Files	also the config file name
Saved Games	hook file	Files	
Config	config file	Files	
config	config file	UNDEFINED	the config table
Progress log	progress log	Files	
DcsTerrainExtract.log	progress log	Files	
dcs.log	dcs.log	Files	
INFO	dcs.log	Files	
DCS install	dcs install	Files	
enabled	enabled	Config table	
output_dir	output_dir	Config table	
cell_size	cell_size	Config table	
tile_size	tile_size	Config table	
frame_budget_ms	frame_budget_ms	Config table	
crop_m	crop_m	Config table	
authored_bounds_m	authored_bounds_m	Config table	
nodesMapBorders	authored_bounds_m	Config table	
omit_sea_tiles	omit_sea_tiles	Config table	
road_seed_spacing	road_seed_spacing	Config table	
road_seed_neighbours	road_seed_neighbours	Config table	
passes	passes	Config table	
towns_lua	towns_lua	Config table	
nodes_lua	nodes_lua	Config table	
crs	crs	Config table	
terrain_dir	terrain_dir	Config table	
SinaiMap	terrain_dir	Hook-pass sweeps	example id whose directory is Sinai
validates	config validation	Config table	
DCS.setUserCallbacks	callbacks	Lifecycle	
state machine	state machine	Lifecycle	
onSimulationFrame	state machine	Lifecycle	
onMissionLoadEnd	state machine	Lifecycle	
onSimulationStop	state machine	Lifecycle	
onSimulationStart	state machine	Lifecycle	
idle	idle state	Lifecycle	
GetTerrainConfig	idle state	Lifecycle	
prepare	prepare state	Lifecycle	
resume	resume	Lifecycle	
hook pass	hook pass	Lifecycle	
mission pass	mission pass	Lifecycle	
