# spec: extractor-hook.md
# sha256: 2a39c9894c3d9fca31658f38566b6f742b1e65f720888ec0028bbd044be4a15a
# generated: 2026-09-03 (re-stamped after rename; rows from the 2026-09-02 review)
subject	kind	status	claim	section	anchor
hook	definition		The hook is a GameGUI hook that sweeps a loaded DCS theatre and writes an extract directory.	Spec: extractor hook	A GameGUI hook that sweeps a loaded DCS theatre and writes an extract
extract format	dependency		The output directory follows `extract-format.md`.	Spec: extractor hook	directory in the format of `extract-format.md`. Lua 5.1, one file,
hook	constraint		The hook is Lua 5.1, one file, and runs on the Windows machine with DCS.	Spec: extractor hook	runs on the Windows machine with DCS. Background and every measured
design doc	dependency		Background and every measured figure live in `design-and-facts.md` and `probe-log-2.9.29.27278.md`.	Spec: extractor hook	figure: `design-and-facts.md`, `probe-log-2.9.29.27278.md`. Write
dcs-scripting skill	constraint		Write the hook with the `dcs-scripting` skill loaded.	Spec: extractor hook	it with the `dcs-scripting` skill loaded and check every symbol against
dcs-api-lookup	constraint		Check every symbol against `dcs-api-lookup` before calling it.	Spec: extractor hook	`dcs-api-lookup` before calling it.
hook file	definition		The hook is `Scripts/Hooks/DcsTerrainExtract.lua` in Saved Games.	Files	- `Scripts/Hooks/DcsTerrainExtract.lua` in Saved Games: the hook. Loads
hook file	behavior		The hook loads on every DCS start and does nothing unless enabled.	Files	on every DCS start, does nothing unless enabled.
config file	definition		`Config/DcsTerrainExtract.lua` in Saved Games is a Lua table the hook `dofile`s at load.	Files	- `Config/DcsTerrainExtract.lua` in Saved Games: a Lua table the hook
config file	behavior		The config is re-read on every start and an absent file means disabled.	Files	`dofile`s at load and re-reads on every start. Absent file means
progress log	definition		The progress log is `Logs/DcsTerrainExtract.log` in Saved Games with one line per tile and per phase change.	Files	- Progress log: `Logs/DcsTerrainExtract.log` in Saved Games, one line per
dcs.log	behavior		`dcs.log` gets `INFO` lines at phase changes only.	Files	tile and per phase change, plus `dcs.log` `INFO` lines at phase changes
