# spec: kotlin-consumer.md
# sha256: f872f1d819bc7aef5230689728b34315fcf53b9fec0d6c3b742dfcbd68e51d87
# generated: 2026-09-03 (re-stamped after rename; rows from the 2026-09-02 review)
term	subject	defined_in	note
Kotlin campaign	kotlin campaign	Spec: Kotlin consumer	
campaign	kotlin campaign	Spec: Kotlin consumer	
dcsterrain	kotlin campaign	UNDEFINED	the Rust binary
dcsterrain-core	kotlin campaign	UNDEFINED	defined in core.md
dcsterrain-client	dcsterrain-client	Shape	
Terrain	terrain interface	Shape	Kotlin interface
describe	terrain.describe	Shape	
sample	terrain.sample	Shape	
SampleRequest	terrain.sample	Shape	
scoreSite	terrain.scoresite	Shape	
ScoreSiteRequest	terrain.scoresite	Shape	
findSites	terrain.findsites	Shape	
FindSitesRequest	terrain.findsites	Shape	
visible	terrain.visible	Shape	
VisibleRequest	terrain.visible	Shape	
viewshed	terrain.viewshed	Shape	
ViewshedRequest	terrain.viewshed	Shape	
coverage	terrain.coverage	Shape	
CoverageRequest	terrain.coverage	Shape	
approachSpectrum	terrain.approachspectrum	Shape	
ApproachSpectrumRequest	terrain.approachspectrum	Shape	
unmaskProfile	terrain.unmaskprofile	Shape	
UnmaskProfileRequest	terrain.unmaskprofile	Shape	
route	terrain.route	Shape	
RouteRequest	terrain.route	Shape	
routeAlternatives	terrain.routealternatives	Shape	
RouteAlternativesRequest	terrain.routealternatives	Shape	
nearest	terrain.nearest	Shape	
NearestRequest	terrain.nearest	Shape	
sceneryIn	terrain.sceneryin	Shape	
SceneryInRequest	terrain.sceneryin	Shape	
chokepoints	terrain.chokepoints	Shape	
ChokepointsRequest	terrain.chokepoints	Shape	
trafficability	terrain.trafficability	Shape	
TrafficabilityRequest	terrain.trafficability	Shape	
Describe	terrain.describe	Shape	return type
kotlinx.serialization	generated classes	UNDEFINED	Kotlin library
generated classes	generated classes	Shape	
dcsterrain schema	dcsterrain schema	Shape	
schemars	dcsterrain schema	UNDEFINED	Rust crate
Gradle	generated classes	UNDEFINED	
Transports	transports	Transports	
ProcessTerrain	processterrain	Transports	
Kotlin MCP SDK	kotlin mcp sdk	UNDEFINED	
backoff	processterrain	Transports	
CliTerrain	cliterrain	Transports	
dcsterrain query	cliterrain	UNDEFINED	CLI subcommand
binary	binary path	Transports	
TerrainFactory	terrainfactory.open	Transports	
installDir	install check	Transports	
matches_install	install check	UNDEFINED	dcsterrain check name
dcsterrain check	install check	UNDEFINED	CLI subcommand
dcs_build	file selection	UNDEFINED	
terrain_digest	file selection	UNDEFINED	
JDBC	jdbc reads	Transports	
vector tables	vector tables	Transports	
airdrome	vector tables	Transports	
beacon	vector tables	Transports	
poi	vector tables	Transports	
runway	vector tables	Transports	
stand	vector tables	Transports	
SQLite	sqlite file	Transports	
Grid tables	grid tables	Transports	
design doc	campaign responsibilities	UNDEFINED	design-and-facts.md
Overlay	overlay	Campaign-side responsibilities	
scenery_in	overlay	UNDEFINED	query operation
scenery_max	overlay	UNDEFINED	criterion input
Selection	sitepolicy	Campaign-side responsibilities	
SitePolicy	sitepolicy	Campaign-side responsibilities	
predicate	sitepolicy	Campaign-side responsibilities	caller-supplied, over the metric vector
difficulty tables	sitepolicy	Campaign-side responsibilities	none shipped
Waypoint emission	waypoint emission	Campaign-side responsibilities	
On Road	waypoint emission	Campaign-side responsibilities	DCS waypoint action
Route rotation	routeplan	Campaign-side responsibilities	
RoutePlan	routeplan	Campaign-side responsibilities	
route_alternatives	routeplan	UNDEFINED	query operation
Contract tests	contract tests	Testing	
synthetic packed file	synthetic packed file	Testing	
FARP	acceptance 3	UNDEFINED	
Generated classes	acceptance 1	Acceptance	
killed server process	acceptance 2	Acceptance	
geo	terrain.geo	Shape	
GeoRequest	terrain.geo	Shape	
GeoResponse	terrain.geo	Shape	
onMismatch	onMismatch	Transports	factory policy flag
REFUSE	onMismatch	Transports	default onMismatch value
WARN	onMismatch	Transports	onMismatch value
suspend	terrain interface	Shape	every method
quicktype	generated classes	Shape	schema-to-Kotlin generator run by the Gradle task
json-kotlin-schema-codegen	generated classes	Shape	JVM-native alternative generator
