# spec: probe-log-2.9.29.27278.md
# sha256: 61ebfd3132178c831468edcc64fd75a1158e1e8dc405e5eff7e13f617bb61323
# generated: 2026-09-03 (re-stamped after rename; rows from the 2026-09-02 review)
term	subject	defined_in	note
hook	hook state	Terrain probe log, DCS 2.9.29.27278, Caucasus	bridge's own Lua state with terrain module
server	server state	Terrain probe log, DCS 2.9.29.27278, Caucasus	mission-scripting state
dcs_eval_in	probe session	Terrain probe log, DCS 2.9.29.27278, Caucasus	the bridge used for every call
bridge	probe session	UNDEFINED	dcs_eval_in
DcsApiEval	crash record	UNDEFINED	the bridge's hook-side component
terrain	terrain lifecycle	UNDEFINED	the hook-side Lua module from require("terrain")
Mission Editor	terrain lifecycle	UNDEFINED	editor open is enough to load a terrain
GetTerrainConfig	getterrainconfig	GetTerrainConfig from the hook	
id	terrain id	GetTerrainConfig from the hook	
SW_bound	sw_bound	GetTerrainConfig from the hook	km
NE_bound	ne_bound	GetTerrainConfig from the hook	km
defaultBullseye	defaultbullseye	GetTerrainConfig from the hook	y is z
seaEnabled	seaenabled	GetTerrainConfig from the hook	
defaultcamera	defaultcamera	GetTerrainConfig from the hook	km
SummerTimeDelta	summertimedelta	GetTerrainConfig from the hook	
defaultDateTime	defaultdatetime	GetTerrainConfig from the hook	
standDescriptionVersion	standdescriptionversion	GetTerrainConfig from the hook	
Airdromes	airdromes	GetTerrainConfig from the hook	
getTerrainShpare	getterrainshpare	GetTerrainConfig from the hook	FLAT
bounds rectangle	bounds rectangle	GetTerrainConfig from the hook	SW_bound to NE_bound
raster	bounds rectangle	UNDEFINED	what the bounds describe
authored hull	nodesmapborders	UNDEFINED	area inside the Caucasus nodesMapBorders; found by the pre-sweep elsewhere
nodesMapBorders	nodesmapborders	GetTerrainConfig from the hook	entry.lua on Caucasus; MissionGenerator/nodesMap.lua on the other seven
entry.lua	nodesmapborders	UNDEFINED	terrain file holding nodesMapBorders
pre-sweep	nodesmapborders	UNDEFINED	finds the hull where nodesMapBorders is not the authored area
reference_point	airdrome reference_point	GetTerrainConfig from the hook	airdrome origin in DCS metres
roadnet	roadnet	GetTerrainConfig from the hook	.rn4 path per airfield
rn4	roadnet	UNDEFINED	airfield taxiway file extension
GetHeight	terrain.getheight	Height and surface, hook	
terrain.GetHeight	terrain.getheight	Height and surface, hook	
GetSurfaceType	terrain.getsurfacetype	Height and surface, hook	returns a string
terrain.GetSurfaceType	terrain.getsurfacetype	Height and surface, hook	
land.SurfaceType	land.getsurfacetype	Spec-review measurements, 2026-09-02	integer enum in the mission state; values listed
row-major	sweep order	UNDEFINED	sequential sweep order
GetSurfaceHeightWithSeabed	terrain.getsurfaceheightwithseabed	Height and surface, hook	returns (height, depth)
fill	fill value	UNDEFINED	out-of-bounds sentinel value
getObjectsAtMapPoint	terrain.getobjectsatmappoint	Scenery	point-in-footprint test
sizeOBB	terrain.getobjectsatmappoint	Scenery	{w, d}
concrete_wall_01	terrain.getobjectsatmappoint	Scenery	example model
sklad_new	terrain.getobjectsatmappoint	Scenery	example model, a warehouse
searchObjects	world.searchobjects	Scenery	
world.searchObjects	world.searchobjects	Scenery	
Object.Category.SCENERY	world.searchobjects	UNDEFINED	category argument
getTypeName	scenery object	Scenery	uppercase model name
getDesc	scenery object	Scenery	
getLife	scenery object	Scenery	
BLK_LIGHT_POLE	blk_light_pole	Scenery	most common model
Sataplia	trees	UNDEFINED	wooded site near Kutaisi
getIP	land.getip	getIP	
land.getIP	land.getip	getIP	
land.profile	land.profile	land.profile	
getClosestPointOnRoads	terrain.getclosestpointonroads	Roads, hook	
findPathOnRoads	terrain.findpathonroads	Roads, hook	
railroads	terrain.getclosestpointonroads	Roads, hook	network name argument
isVisible	terrain.isvisible	Visibility	terrain only
terrain.isVisible	terrain.isvisible	Visibility	
non-maximum suppression	farp ranking	UNDEFINED	2 km spacing
ground exposure	ground exposure	FARP siting example, live	
LOS	sam score	UNDEFINED	line of sight
Rioni plain	rioni plain	UNDEFINED	flat plain around Kutaisi
unmasking point	unmasking point	SAM siting example, live	
land.getSurfaceType	land.getsurfacetype	Sizing figures, server state	
land.getHeight	land.getheight	Sizing figures, server state	
getRunwayList	getrunwaylist	Airfield, beacon and radio tables, hook	
getRunwayHeading	getrunwayheading	Airfield, beacon and radio tables, hook	
getStandList	getstandlist	Airfield, beacon and radio tables, hook	
getBeacons	getbeacons	Airfield, beacon and radio tables, hook	
