# spec: probe-log-2.9.29.27278.md
# sha256: 61ebfd3132178c831468edcc64fd75a1158e1e8dc405e5eff7e13f617bb61323
# generated: 2026-09-03 (re-stamped after rename; rows from the 2026-09-02 review)
subject	kind	status	claim	section	anchor
probe session	definition		The log records single-player measurements with a mission running via the dcs_eval_in bridge.	Terrain probe log, DCS 2.9.29.27278, Caucasus	Single player, mission running, bridge `dcs_eval_in`.
hook state	definition		hook denotes the bridge's own Lua state with require("terrain") loaded.	Terrain probe log, DCS 2.9.29.27278, Caucasus	own state with `require("terrain")`; `server` means the mission-scripting
server state	definition		server denotes the mission-scripting state.	Terrain probe log, DCS 2.9.29.27278, Caucasus	`server` means the mission-scripting
coordinate convention	definition		All coordinates are DCS metres with x north and z east.	Terrain probe log, DCS 2.9.29.27278, Caucasus	All coordinates are DCS metres, x north, z east.
measurement date	dependency		Every figure is one machine's measurement on 2026-09-02.	Terrain probe log, DCS 2.9.29.27278, Caucasus	one machine's measurement on 2026-09-02.
terrain lifecycle	dependency		At the main menu require("terrain") loads and every function is present.	Terrain lifecycle	At the main menu `require("terrain")` loads and every function is present, but
getterrainconfig	dependency		GetTerrainConfig("id") returns nil at the main menu.	Terrain lifecycle	`GetTerrainConfig("id")` returns nil.
getterrainconfig	dependency		With the Mission Editor open on Caucasus GetTerrainConfig("id") returns "Caucasus" before any mission runs.	Terrain lifecycle	it returns `"Caucasus"`, before any mission runs.
terrain lifecycle	behavior		Opening the Mission Editor is enough to load a terrain for hook-side extraction.	Terrain lifecycle	The editor is enough to load
terrain id	dependency		GetTerrainConfig id is Caucasus.	GetTerrainConfig from the hook	| `id` | `Caucasus` |
sw_bound	dependency		SW_bound is {-600, 0, -560} km.	GetTerrainConfig from the hook	| `SW_bound` | `{-600, 0, -560}` (km) |
ne_bound	dependency		NE_bound is {380, 0, 1130} km.	GetTerrainConfig from the hook	| `NE_bound` | `{380, 0, 1130}` (km) |
defaultbullseye	dependency		defaultBullseye gives blue {x=-291014,y=617414} and red {x=11557,y=371700} with y meaning z.	GetTerrainConfig from the hook	`{blue={x=-291014,y=617414}, red={x=11557,y=371700}}` (`y` is z)
seaenabled	dependency		seaEnabled is true on Caucasus.	GetTerrainConfig from the hook	| `seaEnabled` | `true` |
defaultcamera	dependency		defaultcamera is {-355, 0.2, 618} km.	GetTerrainConfig from the hook	| `defaultcamera` | `{-355, 0.2, 618}` (km) |
summertimedelta	dependency		SummerTimeDelta is 4.	GetTerrainConfig from the hook	| `SummerTimeDelta` | `4` |
defaultdatetime	dependency		defaultDateTime is nil.	GetTerrainConfig from the hook	| `defaultDateTime` | nil |
standdescriptionversion	dependency		standDescriptionVersion is nil.	GetTerrainConfig from the hook	| `standDescriptionVersion` | nil |
airdromes	dependency		Airdromes has 21 entries on Caucasus.	GetTerrainConfig from the hook	| `Airdromes` | 21 entries |
getterrainshpare	dependency		getTerrainShpare() returns FLAT.	GetTerrainConfig from the hook	| `getTerrainShpare()` | `FLAT` |
bounds rectangle	dependency		The bounds rectangle measures 980 × 1690 km.	GetTerrainConfig from the hook	The bounds rectangle is 980 × 1690 km.
