# spec: query-operations.md
# sha256: d970d4a842bf50e28c2cf8d0a1416c32551e6b94c6fa4170ac147847b989e2e3
# generated: 2026-09-03 (re-stamped after rename; rows from the 2026-09-02 review)
subject	kind	status	claim	section	anchor
ops module	definition		dcsterrain-core::ops implements the operations over a packed file.	Spec: query operations	The operations `dcsterrain-core::ops` implements over a packed file.
operation surfaces	interface		Each operation is one Rust function taking a serde request struct and returning a serde response struct.	Spec: query operations	Each is one Rust function taking a `serde` request struct and returning
query subcommand	interface		Each operation is one dcsterrain query <file> <op> <json> subcommand.	Spec: query operations	a `serde` response struct, one `dcsterrain query <file> <op> <json>`
mcp tool	interface		Each operation is one MCP tool per mcp-server.md.	Spec: query operations	subcommand, and one MCP tool (`mcp-server.md`). The three surfaces
operation surfaces	goal		The three surfaces share the structs so their schemas cannot drift.	Spec: query operations	share the structs, so their schemas cannot drift. Worked campaign
design doc	dependency		Worked campaign examples with live numbers are in design-and-facts.md under "Worked tasks" and "Choosing a site that is not the best".	Spec: query operations	`design-and-facts.md` under "Worked tasks" and "Choosing a site that
box type	definition		Box is {min_x, min_z, max_x, max_z} as f64.	Common types	struct Box { min_x: f64, min_z: f64, max_x: f64, max_z: f64 }
region type	definition		Region is an enum of Box, Circle {x, z, radius}, Polygon {points} or AirdromeBand.	Common types	enum Region { Box(Box), Circle { x, z, radius }, Polygon { points: Vec<[f64; 2]> },
airdrome band	definition		AirdromeBand is {airdrome_id, min_dist, max_dist}.	Common types	AirdromeBand { airdrome_id, min_dist, max_dist } }
point type	definition		Point is {x, z} as f64.	Common types	struct Point { x: f64, z: f64 }
point3 type	definition		Point3 is {x, z, alt: Option<f64>, alt_agl: Option<f64>}.	Common types	struct Point3 { x: f64, z: f64, alt: Option<f64>, alt_agl: Option<f64> }
point3 type	constraint		Exactly one of alt (absolute) or alt_agl (above ground) is set on a Point3; both or neither is an error.	Common types	exactly one of alt (absolute) or alt_agl (above ground) is set; both or neither is an error
observer type	definition		Observer is {x, z, alt_agl}.	Common types	struct Observer { x: f64, z: f64, alt_agl: f64 }
footprint type	definition		Footprint is {width, depth, orientations_deg} with orientations defaulting to [0, 90].	Common types	struct Footprint { width: f64, depth: f64, orientations_deg: Vec<f64> }
region type	behavior		Every Region converts to its bounding Box plus a membership predicate before any grid work.	Common types	Every `Region` is converted to its bounding `Box` plus a membership
region type	behavior		Cells outside the membership predicate are skipped.	Common types	predicate before any grid work; cells outside the predicate are
units	constraint		All lengths are metres and all angles degrees in request and response structs.	Common types	skipped. All lengths are metres, angles degrees in the request and
units	constraint		Radians never cross the API boundary.	Common types	response structs (radians never cross the API boundary).
response envelope	interface		Every response carries theatre, dcs_build, terrain_digest, cell_size and elapsed_ms.	Common types	Every response carries `theatre`, `dcs_build`, `terrain_digest`,
response envelope	goal		The envelope lets a consumer always tell what answered.	Common types	`cell_size` and `elapsed_ms` so a consumer can always tell what answered.
errors	definition		Errors are a Vec<Issue {code, message, path}>.	Common types	Errors are a `Vec<Issue { code, message, path }>`; an operation either
errors	constraint		An operation returns either a full result or an error, never a partial.	Common types	returns a full result or an error, never a partial.
describe	interface		describe takes no request.	`describe`	Request: none. Response: every `meta` key, the `grid` table, row counts
describe	interface		describe returns every meta key, the grid table, vector table row counts, layers_dropped and stamped validation figures.	`describe`	of every vector table, `layers_dropped`, and the validation figures if
sample	interface		sample takes either region with step in metres at least cell_size, or points: Vec<Point>, plus layers: Vec<String>.	`sample`	Request: either `region` with `step: f64` (metres, ≥ cell_size), or
sample	interface		sample returns rows {x, z, values: {layer: number|null}} at lattice points inside the region, or one row per given point in order.	`sample`	values: {layer: number|null}}` at lattice points inside the region, or
max_rows	constraint		sample caps at max_rows, default 10 000, and errors when exceeded rather than truncating.	`sample`	one row per given point in order, capped at `max_rows` (default 10 000,
sample	behavior		sample interpolates height bilinearly and every other layer nearest.	`sample`	error when exceeded rather than truncation). `height` is bilinear;
geo	interface		geo takes to_latlon: Vec<Point> and/or to_xz: Vec<{lat, lon}>.	`geo`	Request: `to_latlon: Vec<Point>` and/or `to_xz: Vec<{lat, lon}>`.
geo	interface		geo returns the converted lists in the same order using the file's crs_proj4.	`geo`	Response: the converted lists in the same order, using the file's
geo	constraint		geo is a pure function over meta with no grid reads.	`geo`	`crs_proj4`. A pure function over `meta`; no grid reads.
score_site	interface		score_site takes x, z, footprint and criteria: Vec<Criterion>.	`score_site`	Request: `x, z`, `footprint`, `criteria: Vec<Criterion>`. Response: for
score_site	interface		score_site returns {orientation_deg, terms, hard_fail} for the best orientation.	`score_site`	the best orientation, `{orientation_deg, terms: [{name, value, pass,
term	definition		Each criterion contributes one term with name, value, pass and score.	`score_site`	score}], hard_fail: bool}`. Each criterion contributes one term;
term	definition		pass is the hard test and score is a 0..1 soft value with 1 best.	`score_site`	`pass` is the hard test, `score` is a 0..1 soft value (1 best). See
find_sites	interface		find_sites takes region, footprint, criteria, step, spacing, limit and weights.	`find_sites`	Request: `region`, `footprint`, `criteria`, `step` (candidate lattice,
find_sites step	constraint		The find_sites candidate lattice step defaults to 2 × cell_size.	`find_sites`	default 2 × cell_size), `spacing` (non-maximum suppression radius),
spacing	definition		spacing is the non-maximum suppression radius.	`find_sites`	`spacing` (non-maximum suppression radius)
find_sites limit	constraint		limit defaults to 20 with a maximum of 200.	`find_sites`	`limit` (default 20, max 200), `weights: {name: f64}` (default 1 each).
weights	constraint		weights maps criterion name to f64, defaulting to 1 each.	`find_sites`	`weights: {name: f64}` (default 1 each)
find_sites	interface		find_sites returns candidates {x, z, orientation_deg, score, terms}.	`find_sites`	Response: candidates `{x, z, orientation_deg, score, terms}` ranked by
find_sites	behavior		Candidates rank by weighted sum of term scores after every hard test passes, suppressed at spacing.	`find_sites`	weighted sum of term scores after every hard test passes, suppressed at
find_sites stats	interface		find_sites returns stats {cells_considered, cells_passed, tiles_skipped}.	`find_sites`	`spacing`, plus `stats {cells_considered, cells_passed, tiles_skipped}`.
tile skipping	behavior		Tile min/max on height, dist_* and valid skip whole tiles a hard criterion cannot pass.	`find_sites`	Tile min/max on `height`, `dist_*` and `valid` are used to skip whole
tile skipping	constraint		A tile whose height range is under span_max cannot fail span_max or slope_max.	`find_sites`	tiles a hard criterion cannot pass (a tile whose height range is under
visible	interface		visible takes a: Point3 and b: Point3, each with alt or alt_agl.	`visible`	Request: `a: Point3, b: Point3`, each with `alt` or `alt_agl`.
visible	interface		visible returns {visible: bool, blocking: Point3 | null, clearance_m: f64}.	`visible`	Response: `{visible: bool, blocking: Point3 | null,
visible	constraint		blocking carries an absolute alt.	`visible`	the sightline and the terrain (negative when blocked); `blocking`
clearance_m	definition		clearance_m is the minimum vertical gap between the sightline and the terrain, negative when blocked.	`visible`	clearance_m: f64}` where clearance is the minimum vertical gap between
viewshed	interface		viewshed takes observer, radius, target_alt_agl and resolution.	`viewshed`	Request: `observer`, `radius`, `target_alt_agl`, `resolution` (default
viewshed resolution	constraint		viewshed resolution defaults to cell_size and may be coarser.	`viewshed`	cell_size, may be coarser). Response: `{origin_x, origin_z, cell,
viewshed	interface		viewshed returns {origin_x, origin_z, cell, width, height, bits: base64} bitmask plus visible_fraction.	`viewshed`	width, height, bits: base64}` bitmask, plus `visible_fraction`, and
as_polygons	interface		When as_polygons is true, viewshed also returns rings: Vec<Polygon>.	`viewshed`	optionally `rings: Vec<Polygon>` when `as_polygons` is true (marching
as_polygons	behavior		Rings come from marching squares over the mask, simplified to 0.5 cell.	`viewshed`	squares over the mask, simplified to 0.5 cell).
coverage	interface		coverage takes site: Observer, envelope {radius, alt_bands_agl: Vec<f64>} and asset: Region | null.	`coverage`	Request: `site: Observer`, `envelope {radius, alt_bands_agl: Vec<f64>}`,
coverage	interface		coverage takes asset: Region | null and min_masked_range (default 8 km).	`coverage`	`asset: Region | null`, `min_masked_range` (default 8 km). Response: per
coverage	interface		coverage returns per band {alt_agl, covered_fraction, dead_zones: Vec<Polygon>}.	`coverage`	band `{alt_agl, covered_fraction,
asset_covered_fraction	interface		When asset is given, coverage returns asset_covered_fraction per band.	`coverage`	dead_zones: Vec<Polygon>}` and, when `asset` is given, `asset_covered_
blind_approach_exists	definition		blind_approach_exists per band is true when some radial stays masked from radius to inside min_masked_range.	`coverage`	fraction` per band, plus `blind_approach_exists: bool` per band (some
min_masked_range	constraint		min_masked_range defaults to 8 km in coverage.	`coverage`	`asset: Region | null`, `min_masked_range` (default 8 km). Response: per
approach_spectrum	interface		approach_spectrum takes site: Observer and radius, the engagement or search radius.	`approach_spectrum`	Request: `site: Observer`, `radius` (engagement or search radius),
azimuth_step_deg	constraint		approach_spectrum takes alt_bands_agl: Vec<f64> and azimuth_step_deg defaulting to 5.	`approach_spectrum`	`alt_bands_agl: Vec<f64>`, `azimuth_step_deg` (default 5),
approach_spectrum	interface		approach_spectrum takes min_masked_range (default 8 km) and sector: {from_deg, to_deg} | null.	`approach_spectrum`	`min_masked_range` (default 8 km), `sector: {from_deg, to_deg} | null`.
approach_spectrum	behavior		For every azimuth and band the radial marches inward from radius at half-cell steps.	`approach_spectrum`	For every azimuth and band, march the radial from `radius` inward at
approach_spectrum	behavior		The march records where the site first has line of sight to a target at that altitude.	`approach_spectrum`	half-cell steps and record where the site first has line of sight to a
radials	interface		Response per band is radials: Vec<{bearing_deg, unmask_dist, masked_fraction, blind}>.	`approach_spectrum`	target at that altitude. Response per band: `radials: Vec<{bearing_deg,
unmask_dist	definition		unmask_dist is the range of the first visible step, null when the radial is masked over its whole length.	`approach_spectrum`	unmask_dist, masked_fraction, blind}>` where `unmask_dist` is the range
masked_fraction	definition		masked_fraction is the fraction of the radial's steps from radius to the site that are masked.	`approach_spectrum`	length), `masked_fraction` is the fraction of the radial's steps from
blind radial	definition		blind is true when the radial stays masked from radius in to min_masked_range.	`approach_spectrum`	`radius` to the site that are masked, and `blind` is true when the
spectrum summaries	interface		Summaries are blind_arc_fraction, widest_blind_arc_deg and blind_arcs: Vec<{from_deg, to_deg}>.	`approach_spectrum`	summaries `blind_arc_fraction`, `widest_blind_arc_deg`, `blind_arcs:
spectrum summaries	interface		Summaries also include unmask_dist_min, unmask_dist_median and unmask_dist_max.	`approach_spectrum`	Vec<{from_deg, to_deg}>`, `unmask_dist_min`, `unmask_dist_median`,
sector_summary	interface		When sector is given, the summaries restricted to it are also returned as sector_summary.	`approach_spectrum`	`unmask_dist_max`. When `sector` is given the summaries are also
coverage	definition		coverage is approach_spectrum integrated over area.	`approach_spectrum`	returned restricted to it as `sector_summary`. `coverage` is this
unmask_profile	definition		unmask_profile is approach_spectrum along one chosen route.	`approach_spectrum`	operation integrated over area; `unmask_profile` is it along one chosen
approach_spectrum	goal		approach_spectrum serves a player who may come from any direction.	`approach_spectrum`	route. This one is for a player who may come from any direction.
unmask_profile	interface		unmask_profile takes site: Observer, route: Vec<Point3> each with alt or alt_agl, and step defaulting to 100 m.	`unmask_profile`	Request: `site: Observer`, `route: Vec<Point3>` (each with `alt` or
unmask_profile	interface		unmask_profile returns first_seen, first_seen_dist_from_site, first_seen_dist_along_route, masked_segments and visible_fraction.	`unmask_profile`	`alt_agl`), `step` (default 100 m). Response: `{first_seen: Point3 | null,
route	interface		route takes network: "roads" | "railroads", from: Point and to: Point.	`route`	Request: `network: "roads" | "railroads"`, `from: Point`, `to: Point`,
route	interface		route takes avoid: Vec<Region> and exposure_observers: Vec<Observer>.	`route`	`avoid: Vec<Region>`, `exposure_observers: Vec<Observer>`,
route defaults	constraint		exposure_weight defaults to 1 and max_detour_factor defaults to 3.	`route`	`exposure_weight` (default 1), `max_detour_factor` (default 3).
route	interface		route returns waypoints, length, ascent, descent, max_grade_pct, legs, snapped_from, snapped_to and straight_line.	`route`	Response: `{waypoints: Vec<Point>, length, ascent, descent, max_grade_pct,
route legs	interface		Each leg has from, to, length, ascent, descent, max_grade_pct and exposure.	`route`	legs: Vec<{from, to, length, ascent, descent, max_grade_pct, exposure}>,
route length	definition		length is the planar road geometry length between snapped endpoints, summed over road_edge.length values.	`route`	of the road geometry between the snapped endpoints, summed over edges
